Boat Name,Boat Type,Sail #,Rating,DW Rating,I,J,P,E,Max Hdsail,Rig Type,ISP,JSP,LOA,LWL,Beam,Draft,Displacement,Ballast,SLE,SLU,ASMG,ASF,DLR,SAD
Joker,J 35,400,75.0,600.0,46.4,14.7,,14.0,125.0,MS,,,35.42,30.0,11.8,6.75,10500.0,4400.0,,,,,173.61111111111114,
Cascade,Antrim 27 CM ODR,13,75.0,559.0,28.69,8.17,33.75,14.0,116.0,FS,37.25,15.0,27.73,23.75,9.25,6.0,2900.0,1050.0,38.0,44.2,20.1,23.0,96.64049319975841,27.773390805787674
Eagle,Express 37,40237,75.0,587.0,48.75,14.33,42.0,13.75,100.0,MS,48.75,,37.08,30.83,11.57,7.25,11000.0,4500.0,,,,,167.58073568055963,20.60457118214388
Timber Wolf,Farr 38-1 C&B Marine,67519,75.0,593.0,43.91,13.36,44.83,17.91,155.0,FS,47.9,,38.32,30.9,11.97,6.39,12000.0,4100.0,,,,,181.57572606213483,21.17142621855917
Mirthmaker,A 35,18250,75.0,588.0,44.22,12.99,44.94,14.66,90.0,FS,51.06,14.99,34.7,30.47,11.6,6.88,9810.0,4367.0,,53.31,,,154.8116453494513,21.492938091924803
Bullet,Express 37,40311,75.0,591.0,48.75,14.33,42.0,13.75,125.0,MS,48.75,,37.08,30.83,11.57,7.25,11000.0,4600.0,,,,,167.58073568055963,20.60457118214388
Snowy Owl,Express 37 SD,69458,75.0,587.0,48.75,14.33,42.0,13.8,150.0,MS,48.75,,37.08,30.83,11.57,6.25,11000.0,4500.0,,,,,167.58073568055963,20.63847920136866
WISC,J 109 ODR,311,75.0,603.0,46.5,13.3,43.25,15.5,155.0,FS,49.0,18.8,32.25,30.5,11.5,7.0,10900.0,3900.0,45.63,56.33,27.2,27.75,171.50585920659188,20.93738912615829
CruzSea Baby,Beneteau First 10R ODR,52878,78.0,612.0,43.2,12.07,42.25,14.73,155.0,FS,46.41,16.5,32.75,28.7,11.0,6.55,9715.0,3528.0,48.03,52.16,27.95,28.93,183.46325581067623,20.06342479297451
Streaker,J 105 ODR w/ 5'BS,469,78.0,595.0,40.6,13.5,41.5,14.5,100.0,FS,42.1,19.07,34.5,29.5,11.0,6.5,7750.0,3400.0,39.8,49.5,22.3,26.2,134.76826466470004,23.451412239284473
